ROC-AUC,PR-AUC,Acc,F1,Endpoint,Model
0.7598473868189957,0.3232628557951107,0.902542372881356,0.18823529411764706,SR-p53,Baseline_RF
0.7087539115782716,0.3973029874115921,0.864406779661017,0.12727272727272726,SR-HSE,Baseline_RF
0.7730061026936027,0.5427768950763644,0.7754237288135594,0.33472803347280333,SR-MMP,Baseline_RF
0.7800446239053814,0.6119226415411616,0.7570621468926554,0.3333333333333333,NR-AR,Baseline_RF
0.7668297558922559,0.5427226833601554,0.7796610169491526,0.36585365853658536,NR-ER,Baseline_RF
0.8087058375179342,0.5694290062510639,0.7838983050847458,0.19047619047619047,NR-PPAR-gamma,Baseline_RF
