epoch,loss
1,4.269886528361927
2,3.9368350765921853
3,3.8488727526231243
4,3.8302184104919434
5,3.80580323826183
6,3.7935922535983
7,3.7824795376170766
8,3.7753303224390202
9,3.7684858668934216
10,3.755768212405118
11,3.7502645709297875
12,3.7417352199554443
13,3.7375424124977807
14,3.729328441619873
15,3.7249177542599763
16,3.7236965612931683
17,3.716332348910245
18,3.7162274447354404
19,3.7154259291562166
20,3.7115475437857888
21,3.7043730692429975
22,3.706639068776911
23,3.703402124751698
24,3.6973899667913264
25,3.695009335604581
26,3.699491531198675
27,3.6920836665413597
28,3.6914709437977185
29,3.6858591253107242
30,3.684283598986539
31,3.6890101259404964
32,3.6853688023307107
33,3.6872012398459693
34,3.68387694792314
35,3.6783503792502663
36,3.68057465986772
37,3.6820216048847545
38,3.6775295300917192
39,3.6750848986885765
40,3.6769472165541215
41,3.6727393887259745
42,3.669277451255105
43,3.672230746529319
44,3.6739600094881926
45,3.6696094339544123
46,3.6731580300764604
47,3.6712279839949176
48,3.6711214715784246
49,3.667792289907282
50,3.6680102695118295
51,3.6644052505493163
52,3.663578813726252
53,3.6666775183244185
54,3.6635976097800516
55,3.6617575081911955
56,3.6616304354234175
57,3.6589122902263296
58,3.6615238276394932
59,3.6587584192102605
60,3.6587296962738036
61,3.6563264760104093
62,3.6572390469637783
63,3.6601403843272817
64,3.654655677622015
65,3.6537051460959695
66,3.652939380298961
67,3.6526980139992453
68,3.65282694643194
69,3.6537934129888363
70,3.6545223756269976
71,3.6583005601709537
72,3.6518121502616188
73,3.65209510976618
74,3.6490368886427444
75,3.6480367183685303
