DTXSID,SMILES,umap_1,umap_2,cluster
DTXSID00234929,C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[OH-],3.047595,7.4946146,1
DTXSID00237536,FC(F)(F)C(F)(F)c1nnc(C(F)(F)C(F)(F)F)o1,13.197279,7.6873775,4
DTXSID00239570,O=S(=O)([O-])C(F)(F)C(F)(C(F)(F)F)C(F)(F)F.[K+],4.2538524,5.956108,1
DTXSID00239595,O=P([O-])(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[NH4+],8.152285,8.193605,1
DTXSID00239858,O=S(=O)(N(CCO)CCO)C(F)(F)C(F)(F)C(F)(F)C(F)F,1.4990009,6.5667677,3
DTXSID0024050,CC(F)F,-1.7410176,12.393097,1
DTXSID00240984,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,6.634739,8.329755,1
DTXSID00244104,FC(F)(F)C1(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,1.7673596,14.68716,1
DTXSID0027141,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8.392089,10.977161,1
DTXSID00276960,O=C(CCCC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,4.8240886,-1.2050714,0
DTXSID00283715,Nc1nc(=O)c(F)c(C(F)(F)C(F)(F)F)[nH]1,12.627425,7.21034,4
DTXSID00285794,OC(c1ccccc1)(c1ccccc1)C(F)(F)C(F)(F)C(F)(F)F,10.730002,6.2701325,1
DTXSID00290782,FC(F)(F)C(F)(F)C(F)(F)c1n[nH]c(C(F)(F)C(F)(F)C(F)(F)F)n1,11.342053,7.830557,1
DTXSID00292105,Cc1ccsc1C(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)F,12.416428,2.9743147,5
DTXSID00292125,Cc1cc(C(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)F)c(C)o1,12.1531,3.1228185,5
DTXSID00293632,O=C(O)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)Cl.c1ccc(N2CCNCC2)cc1,10.962037,3.7138286,5
DTXSID00293950,Fc1ccc2nc(C(F)(F)C(F)(F)F)[nH]c2c1,12.864649,6.738551,4
DTXSID00300618,FC(F)(F)C1(F)N(Cc2ccccc2)C1(F)F,14.321992,6.1935143,4
DTXSID00312357,O=S(OCC(F)(F)F)OCC(F)(F)F,0.871837,6.8367496,3
DTXSID00314351,FC(F)(F)C(F)(F)C(F)(F)c1nnnn1CC1(Cn2nnnc2C(F)(F)C(F)(F)C(F)(F)F)COC1,10.816503,5.062771,1
DTXSID00314654,O=C(NC(=O)C(F)(F)C(F)(F)F)Nc1ccc(Cl)cc1,12.127386,3.1100132,5
DTXSID00329980,CC(C)(C)C(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)(C)C(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)F.CC(C)(C)C(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)F.[Co],3.0635493,8.0863495,1
DTXSID00330475,CC(C)c1ccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,8.612573,5.7396603,1
DTXSID00335703,COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.1449974,-0.7494384,0
DTXSID00336619,C=CCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.2463975,-1.4487106,0
DTXSID00336710,NC1=NC(=O)C(F)(C(F)(F)F)S1,3.522077,-3.8410418,0
DTXSID00337368,CC(O)CCC(F)(F)C(F)(F)F,-0.84838414,10.887287,1
DTXSID00338350,CC(F)(F)C(F)(F)C(F)(F)C(F)F,-1.3316995,13.727432,1
DTXSID00338673,FC(=C(c1c(F)c(F)c(F)c(F)c1C(F)(F)F)C(F)(F)C(F)(F)F)C(F)(F)F,11.700725,5.655958,6
DTXSID00338835,CC(C)CCOC(=O)C[C@H](NC(=O)C(F)(F)C(F)(F)C(F)(F)F)C(=O)OCCC(C)C,5.660036,-1.4232073,0
DTXSID00339867,FC(F)(Cl)C(F)(Cl)C(F)(Cl)C(F)(Cl)C(F)(Cl)C(F)(F)Cl,2.308613,8.177662,1
DTXSID00344572,CN(C(=O)C(F)(F)C(F)(F)C(F)(F)F)C(=O)C(F)(F)C(F)(F)C(F)(F)F,3.6029582,-2.6726425,0
DTXSID00346051,FC(F)(F)C(F)(F)C(F)(F)C=CI,1.5032927,-2.858699,0
DTXSID00348353,FC(F)(F)C(F)(F)C1=C(C(F)(F)C(F)(F)F)C2(C(F)(F)C(F)(F)F)C(C(F)(F)C(F)(F)F)=C(C(F)(F)C(F)(F)F)N12,2.000405,-6.5252113,0
DTXSID00365621,O=C(O)c1ccccc1NC(=O)C(F)(F)C(F)(F)C(F)(F)F,12.046936,3.0229163,5
DTXSID00366012,Nc1ccc(SC(F)(F)C(F)(F)C(F)(F)F)cc1,14.388333,6.1739216,4
DTXSID0036926,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C1(F)F,2.4308589,14.41537,1
DTXSID00369341,O=C(O)C(O)(C(F)(F)F)C(F)(F)F,0.16389887,-4.0524917,0
DTXSID00369821,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,3.5760448,-2.7869446,0
DTXSID00369826,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.0424101,12.957607,1
DTXSID00370992,C=CCOCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.667303,-1.9576036,0
DTXSID00371101,O=S(=O)(OCC(F)(F)C(F)(F)C(F)(F)C(F)F)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,1.0486143,5.614646,3
DTXSID00371222,O=C(O)C(F)(F)C(F)(Br)C(F)(F)Cl,-0.2558882,-3.250987,0
DTXSID00371227,CCCCC=CC(F)(Cl)C(F)(F)Br,1.6563729,-2.1758673,0
DTXSID00371287,FC(F)(F)C(F)(F)C(F)(F)C(C=CBr)(C(F)(F)F)C(F)(F)F,2.7421703,-2.2726443,0
DTXSID00371303,FC1(F)C(F)(F)C(F)(F)C(F)(Br)C(F)(F)C1(F)F,0.93719476,14.809081,1
DTXSID00371323,O=C(Cl)C(F)(Br)C(F)(F)F,0.46194908,-4.4162865,0
DTXSID00371601,FC(F)(Br)C(F)(F)C(F)(F)C(F)(F)Br,-1.3430449,14.598563,1
DTXSID00371606,C=C(Br)C(F)(F)C(F)(F)Br,0.6932972,-3.9688132,0
DTXSID00375104,C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.5339103,-0.92186075,0
DTXSID00375109,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[I+]c1ccccc1.O=S(=O)([O-])C(F)(F)F,8.011236,5.4394336,1
DTXSID00377688,COC(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F,-1.3852495,1.16669,0
DTXSID00377825,O=C(OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.7084696,-2.0661082,0
DTXSID00378852,FC(F)(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,2.8211162,15.265184,1
DTXSID00379248,O=C(O)CCC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,2.0555837,-0.61560583,0
DTXSID00379268,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)F,-0.25425866,-1.7872578,0
DTXSID00379288,FC(F)(F)C(F)(F)C(F)(F)[C@H]1CCCC[C@H]1I,0.20509906,10.605975,1
DTXSID00379546,COC(=O)C(F)(F)C(F)(F)C(F)F,-0.27707058,-2.1711953,0
DTXSID00379561,COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.6537066,0.6099099,0
DTXSID00379566,COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.570887,0.00841987,0
DTXSID00379703,OCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.3795487,10.694654,1
DTXSID00379728,O=C(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)F,-0.3688429,-3.9724917,0
DTXSID00379748,Oc1ccc(OC(F)(F)C(F)(F)F)cc1,15.410885,6.0658164,4
DTXSID00379783,C=C(C)C(=O)OCC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,4.3446126,-2.3368165,0
DTXSID00379829,O=C(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,-1.36504,-4.168784,0
DTXSID00379864,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,1.2049507,14.533528,1
DTXSID00379884,FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)CC1CO1,0.46962026,12.348524,1
DTXSID00379925,O=C(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.3700798,-0.34010977,0
DTXSID00379960,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,1.2399127,13.607757,1
DTXSID00379980,CC(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.1124463,-0.105330415,0
DTXSID00380031,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8.447364,10.877647,1
DTXSID00380056,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.3808117,12.568919,1
DTXSID00380197,Nc1ccc2c(c1)OC(F)(F)C(F)(F)O2,15.337742,6.106452,4
DTXSID00380213,O=C(F)C(F)(F)C(F)(F)C(=O)F,3.2349987,-4.321182,0
DTXSID00380273,FC1(F)C(F)(F)C(Br)(Br)C1(F)Br,-1.6978511,14.186705,1
DTXSID00380278,C=C(Cl)C(F)(Cl)C(F)(F)Cl,-0.027951015,-2.9854379,0
DTXSID00380753,C[Si](C)(C)OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.1760352,6.449349,3
DTXSID00380798,OCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)CO,-1.3051875,16.37005,2
DTXSID00380854,C=CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CC=C,4.638221,-3.0158336,0
DTXSID00381048,FC(F)C(F)(F)COC(F)(Br)C(F)(Br)C(F)(F)F,0.52881676,13.641603,1
DTXSID00381422,NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CN,-0.1402026,12.11798,1
DTXSID00382070,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.33592606,13.399806,1
DTXSID00382111,O=C(O)C(F)(F)C(F)(F)Cl,-0.06692253,-3.102719,0
DTXSID00382116,O=C(Br)C(F)(Cl)C(F)(F)F,-0.018897343,-3.183263,0
DTXSID00382136,C=C(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,4.213793,-2.4453697,0
DTXSID00382151,C[Si](C)(C)OS(=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,1.1663272,6.4795284,3
DTXSID00382156,COC(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)F,4.10868,-3.295496,0
DTXSID00382171,OCCC(F)(C(F)(F)F)C(F)(F)F,-0.94630754,12.034287,1
DTXSID00382353,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Si](Cl)(Cl)Cl,3.631246,11.726157,1
DTXSID00395302,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccc(P(c2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)c2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)cc1,9.012144,7.9470196,1
DTXSID00395680,C=CCOCC(F)(F)C(F)(F)F,1.4853516,-2.420624,0
DTXSID00399941,C=COS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.9434421,3.4119515,0
DTXSID00404882,O=C(NCCO)C(F)(F)C(F)(F)C(F)(F)F,0.24945517,-1.1578419,0
DTXSID00408562,O=C(O)C(F)(F)OC(F)(F)F,-1.5369236,0.19729008,0
DTXSID00409751,O=C([O-])c1ccc(NC(=O)C(F)(F)C(F)(F)OC(F)(F)F)cc1,12.160852,3.0011663,5
DTXSID0041226,FC(F)(Br)C(F)(F)Br,-1.9717963,13.1582775,1
DTXSID0041696,O=C(F)C(F)(F)C(F)(F)C(F)(F)F,0.14363723,-4.1183825,0
DTXSID00430848,O=C(O)c1ccc(OCC(F)(F)C(F)(F)F)cc1O,12.96732,3.5756874,5
DTXSID00430904,FC1C(F)C(F)C(C(F)(F)C(F)(F)C(F)(F)F)C(F)C1F,0.9482891,13.807313,1
DTXSID00437731,O=C(OOC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,-0.84097713,1.8205035,0
DTXSID00438405,[N-]=[N+]=NCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.071756,-0.53903383,0
DTXSID00441939,NS(=O)(=O)c1nnc(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)s1,8.774717,5.3611383,1
DTXSID00442840,O=S(=O)(OCCOC(F)(F)F)C(F)(F)F,0.8480108,6.435359,3
DTXSID00446247,OC(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.224372,13.084279,1
DTXSID00446989,O=S(=O)(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,-0.10718088,5.8882775,3
DTXSID00447673,CCOC(=O)CC(F)(F)C(F)(F)F,0.2760815,-1.5410295,0
DTXSID00448605,FC1=C(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,1.806704,-6.4046516,0
DTXSID00448983,FC(F)(Cl)C(F)(F)C(F)(F)C(F)(F)c1ccc[nH]1,14.082631,6.407164,4
DTXSID00449435,FC(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)I,-2.3729444,16.603191,2
DTXSID00451977,O=S(=O)(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,1.0074843,5.427096,3
DTXSID00452227,N#CC1=C(N)C(F)(F)C(F)(F)C(F)(F)C1=N,3.5772085,-4.0301566,0
DTXSID00453592,O=C(O)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)F,1.4666758,3.5008569,0
DTXSID00454443,FC(F)(F)C(=C1C(F)(F)C(F)(F)C1(F)F)C(F)(F)F,1.7387638,-6.2246404,0
DTXSID00458188,COC(=O)c1ccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,8.652806,4.747766,1
DTXSID00458749,O=C1C(F)(F)C(F)(F)C(F)(F)C1(F)F,-0.23490778,-4.075965,0
DTXSID00459211,O=C(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,-0.45803457,-2.7450373,0
DTXSID00468500,COc1ccc(C(Cl)(c2ccc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)c2ccc(OC)cc2)cc1,9.558481,6.335126,1
DTXSID00469991,FC=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.4752774,-4.6699233,0
DTXSID00471251,O=C(CBr)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.2615607,-0.5188569,0
DTXSID00471973,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1CO1,2.5941296,12.871302,1
DTXSID0047329,NC(=O)c1nc(-c2cccc(-c3cc(F)ccc3OCC(F)(F)C(F)(F)F)c2)n[nH]1,9.70558,6.2130632,1
DTXSID0047583,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)I,-1.3236248,14.609404,1
DTXSID00476261,FC(F)(F)C(F)(F)COCC1CO1,-0.5923521,10.679045,1
DTXSID00479232,CCOP(=O)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCC,6.025927,8.152425,1
DTXSID00485237,Oc1ccc(C(F)(F)C(F)(F)C(F)(F)F)cc1,14.426171,6.338899,4
DTXSID00490109,Nc1ccc(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,13.945152,6.249195,4
DTXSID00500752,C=Cc1ccc(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)cc1,11.72295,8.087806,1
DTXSID00501188,FC(F)(F)C(F)(F)C1(F)OC1(F)C(F)(F)F,-2.1497247,16.199541,2
DTXSID00502195,FC(F)C(F)(F)C1(F)OC1(F)F,-1.8937279,15.914197,2
DTXSID00502610,O=C(F)C(F)(F)C(F)(F)C(F)(F)I,0.14306049,-4.1193757,0
DTXSID00503607,N#CCS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.55516577,6.123397,3
DTXSID00503960,FC(F)C(F)(F)C(F)(F)C(F)(F)COCl,-0.6430499,12.919358,1
DTXSID00505883,O=C=C(C(=O)C(F)(F)C(F)(F)F)C(F)(F)F,2.9171772,-4.1442304,0
DTXSID00507044,O=C(c1cc(Br)cc(Br)c1)C(F)(F)C(F)(F)C(F)(F)F,13.557929,4.0517335,5
DTXSID00507266,FC1=NC(F)(F)C(F)(F)C(F)=C1F,3.2005253,-5.8033166,0
DTXSID00507665,O=S(Cl)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,0.36711133,13.052447,1
DTXSID00508475,CC(C)C(=O)C(F)(C(F)(F)F)C(F)(F)F,0.1049934,-1.4131848,0
DTXSID00508894,COC(F)(C(=C(F)F)C(F)(F)F)C(F)(F)C(F)(F)F,2.081656,-5.3969655,0
DTXSID00512037,COC(=O)c1cccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1,11.794538,4.6112423,5
DTXSID00513443,FC1=C(F)C2(F)C=CC1(F)C2(F)F,3.0666113,-5.397249,0
DTXSID00516671,O=C(c1ccccc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)c1ccccc1,10.258069,5.834216,1
DTXSID00519223,FC1=C(C(F)(F)F)C(F)(F)C(F)(F)C(Cl)C1(F)F,1.7699625,-5.7030277,0
DTXSID00520071,FC(F)=NC(F)(F)C(F)(Cl)Br,2.2653906,-5.099777,0
DTXSID00521321,O=S(=O)(Cl)C(F)(F)C(F)(F)OC(F)(F)C(F)F,-0.11208309,4.587596,3
DTXSID00522414,COC(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,-0.14157788,12.1975355,1
DTXSID00523502,O=C1C(F)=C(F)C(F)=C(F)C(F)(F)C1(F)F,3.3451452,-6.077391,0
DTXSID00524433,FC(F)(c1ccccc1)C(F)(F)C(F)(F)c1ccccc1,10.791001,6.2402563,1
DTXSID00524736,O=c1[nH]c2ccccc2nc1C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,12.389432,6.672109,4
DTXSID00525001,C[Si](C)(C)OCC(F)(F)C(F)(F)F,1.3204827,9.261857,1
DTXSID00525021,Fc1c(F)c(F)c2c(c1F)C(F)(F)C(F)(Br)C2(F)F,12.520488,7.2144,4
