Site_location	Site_code	Sample_date_yyyymmdd	Sample_type	PFOS_linear	PFOS_branched	PFOA	PFHxS_linear	PFHxS_branched	PFDA	PFDoDA	6:2FTS	PFNA	PFUnDA	PFBA	PFHpA	PFHxA	PFPeA	PFTeDA	PFTrDA	PFBS	PFDS	PFHpS	PFNS	PFPeS	4:2FTS	8:2FTS	FBSA	FHxSA	FOSA	N_EtFOSAA_linear	N_EtFOSA_M	N_MeFOSAA_linear	N_MeFOSA_M	11Cl_PF3OUDS	9Cl_PF3ONS	ADONA	GenX	10:2FTS	3_6_OPFHpA	6:2_8:2diPAP	6:6PFPi	FDSA	FDUEA	FHpPA	FHpSA	FHUEA	FOUEA	PF40PeA	PF5OHxA	PFECHS_cis_plus_trans	PFEESA	PFTrDS	PFUnDS	8:2_diPAP	FOSAA	FPePA	FPrPA	N_MeFBSA_M	PBSA
"Madison or Jefferson County, Montana"	MTTW23_pf 11	20231030	Private well	<0.36	<0.4	<0.5	0.66	<0.34	<0.5	<1.0	<0.5	<1.0	<0.2	<5.0	<0.2	<1.0	<5.0	<2.5	<2.5	0.46	<0.48	<0.47	<0.48	<0.94	<0.46	<0.48	<5.0	<1.0	<1.0	<0.38	<1.0	<0.38	<1.0	<0.47	<0.93	<0.09	<1.0	<0.96	<1.0	<0.97	<0.48	<0.5	<2.0	<0.5	<0.5	<0.5	<0.5	<0.1	<5.0	<0.18	<0.9	<0.97	<0.48	<0.98	<0.5	<10.0	<20.0	<5.0	<22.3
"Madison or Jefferson County, Montana"	MTTW23_pf 12	20231030	Private well	<0.36	<0.4	<0.5	<0.37	<0.34	<0.5	<1.0	<0.5	<1.0	<0.2	<5.0	<0.2	<1.0	<5.0	<2.5	<2.5	<0.9	<0.48	<0.47	<0.48	<0.94	<0.46	<0.48	<5.0	<1.0	<1.0	<0.38	<1.0	<0.38	<1.0	<0.47	<0.93	<0.09	<1.0	<0.96	<1.0	<0.97	<0.48	<0.5	<2.0	<0.5	<0.5	<0.5	<0.5	<0.1	<5.0	<0.18	<0.9	<0.97	<0.48	<0.98	<0.5	<10.0	<20.0	<5.0	<22.3
"Madison or Jefferson County, Montana"	MTTW23_pf 13	20231101	Private well	<0.36	<0.4	<0.5	<0.37	<0.34	<0.5	<1.0	<0.5	<1.0	<0.2	<5.0	<0.2	<1.0	<5.0	<2.5	<2.5	<0.5	<0.48	<0.47	<0.48	<0.94	<0.46	<0.48	<5.0	<1.0	<1.0	<0.38	<1.0	<0.38	<1.0	<0.47	<0.93	<0.09	<1.0	<0.96	<1.0	<0.97	<0.48	<0.5	<2.0	<0.5	<0.5	<0.5	<0.5	<0.1	<5.0	<0.18	<0.9	<0.97	<0.48	<0.98	<0.5	<10.0	<20.0	<5.0	<22.3
"Madison or Jefferson County, Montana"	MTTW23_pf 14	20231102	Private well	<0.36	<0.4	<0.5	<0.37	<0.34	<0.5	<1.0	<0.5	<1.0	<0.2	<5.0	<0.2	<1.0	<5.0	<2.5	<2.5	<0.5	<0.48	<0.47	<0.48	<0.94	<0.46	<0.48	<5.0	<1.0	<1.0	<0.38	<1.0	<0.38	<1.0	<0.47	<0.93	<0.09	<1.0	<0.96	<1.0	<0.97	<0.48	<0.5	<2.0	<0.5	<0.5	<0.5	<0.5	<0.1	<5.0	<0.18	<0.9	<0.97	<0.48	<0.98	<0.5	<10.0	<20.0	<5.0	<22.3
"Madison or Jefferson County, Montana"	MTTW23_pf 15	20231029	Private well	3.2	0.98	2.0	<0.37	<0.34	<0.5	<1.0	<0.5	<1.0	<0.2	<5.0	0.90	4.3	<5.0	<2.5	<2.5	2.6	<0.48	<0.47	<0.48	<0.94	<0.46	<0.48	<5.0	<1.0	1.4	<0.38	<1.0	<0.38	<1.0	<0.47	<0.93	<0.09	<1.0	<0.96	<1.0	<0.97	<0.48	<0.5	<2.0	<0.5	<0.5	<0.5	<0.5	<0.1	<5.0	<0.18	<0.9	<0.97	<0.48	<0.98	<0.5	<10.0	<20.0	<5.0	<22.3
"Madison or Jefferson County, Montana"	MTTW23_pf 16	20231029	Private well	<0.36	<0.4	<0.5	<0.37	<0.34	<0.5	<1.0	<0.5	<1.0	<0.2	<5.0	<0.2	0.30	<5.0	<2.5	<2.5	<0.5	<0.48	<0.47	<0.48	<0.94	<0.46	<0.48	<5.0	<1.0	<1.0	<0.38	<1.0	<0.38	<1.0	<0.47	<0.93	<0.09	<1.0	<0.96	<1.0	<0.97	<0.48	<0.5	<2.0	<0.5	<0.5	<0.5	<0.5	<0.1	<5.0	<0.18	<0.9	<0.97	<0.48	<0.98	<0.5	<10.0	<20.0	<5.0	<22.3
"Madison or Jefferson County, Montana"	MTTW23_pf 17	20231101	Private well	2.5	1.5	4.4	0.95	<0.34	<0.5	<1.0	<0.5	<1.0	<0.2	<5.0	2.3	5.0	<5.0	<2.5	<2.5	2.0	<0.48	<0.47	<0.48	<0.94	<0.46	<0.48	<5.0	<1.0	<1.0	<0.38	<1.0	<0.38	<1.0	<0.47	<0.93	<0.09	<1.0	<0.96	<1.0	<0.97	<0.48	<0.5	<2.0	<0.5	<0.5	<0.5	<0.5	<0.1	<5.0	<0.18	<0.9	<0.97	<0.48	<0.98	<0.5	<10.0	<20.0	<5.0	<22.3
"Madison or Jefferson County, Montana"	MTTW23_pf 18	20231101	Private well	0.23	<0.4	<0.5	<0.37	<0.34	<0.5	<1.0	<0.5	<1.0	<0.2	<5.0	<0.2	<1.0	<5.0	<2.5	<2.5	<0.5	<0.48	<0.47	<0.48	<0.94	<0.46	<0.48	<5.0	<1.0	<1.0	<0.38	<1.0	<0.38	<1.0	<0.47	<0.93	<0.09	<1.0	<0.96	<1.0	<0.97	<0.48	<0.5	<2.0	<0.5	<0.5	<0.5	<0.5	<0.1	<5.0	<0.18	<0.9	<0.97	<0.48	<0.98	<0.5	<10.0	<20.0	<5.0	<22.3
"Madison or Jefferson County, Montana"	MTTW23_pf 19	20231031	Private well	2.0	0.25	1.4	0.38	<0.34	<0.5	<1.0	<0.5	<1.0	<0.2	<5.0	0.60	<1.0	<5.0	<2.5	<2.5	3.4	<0.48	<0.47	<0.48	<0.94	<0.46	<0.48	<5.0	<1.0	<1.0	<0.38	<1.0	<0.38	<1.0	<0.47	<0.93	<0.09	<1.0	<0.96	<1.0	<0.97	<0.48	<0.5	<2.0	<0.5	<0.5	<0.5	<0.5	<0.1	<5.0	<0.18	<0.9	<0.97	<0.48	<0.98	<0.5	<10.0	<20.0	<5.0	<22.3
"Madison or Jefferson County, Montana"	MTTW23_pf 20	20231031	Private well	0.58	<0.4	<0.5	<0.37	<0.34	<0.5	<1.0	<0.5	<1.0	<0.2	<5.0	0.30	0.80	<5.0	<2.5	<2.5	0.97	<0.48	<0.47	<0.48	<0.94	<0.46	<0.48	<5.0	<1.0	<1.0	<0.38	<1.0	<0.38	<1.0	<0.47	<0.93	<0.09	<1.0	<0.96	<1.0	<0.97	<0.48	<0.5	<2.0	<0.5	<0.5	<0.5	<0.5	<0.1	<5.0	<0.18	<0.9	<0.97	<0.48	<0.98	<0.5	<10.0	<20.0	<5.0	<22.3
