Site_location	Site_code	Sample_date_yyyymmdd	Sample_type	PFOS_linear	PFOS_branched	PFOA	PFHxS_linear	PFHxS_branched	PFDA	PFDoDA	6:2FTS	PFNA	PFUnDA	PFBA	PFHpA	PFHxA	PFPeA	PFTeDA	PFTrDA	PFBS	PFDS	PFHpS	PFNS	PFPeS	4:2FTS	8:2FTS	FBSA	FHxSA	FOSA	N_EtFOSAA_linear	N_EtFOSA_M	N_MeFOSAA_linear	N_MeFOSA_M	11Cl_PF3OUDS	9Cl_PF3ONS	ADONA	GenX	10:2FTS	3_6_OPFHpA	6:2_8:2diPAP	6:6PFPi	FDSA	FDUEA	FHpPA	FHpSA	FHUEA	FOUEA	PF40PeA	PF5OHxA	PFECHS_cis_plus_trans	PFEESA	PFTrDS	PFUnDS	8:2_diPAP	FOSAA	FPePA	FPrPA	N_MeFBSA_M	PBSA
"Salinas County, California"	CH_TW2023_011	20230707	Public supply	<0.37	<0.98	<0.2	<0.37	<0.87	<0.5	<0.5	<1.9	<0.2	<0.5	<5.0	<0.5	<5.0	<5.2	<1.0	<5.0	<0.44	<10.5	<0.48	<0.48	<0.97	<0.47	<0.48	<5.0	<5.0	<2.1	<1.6	<5.2	<3.9	<5.0	<1.0	<4.8	<0.1	<1.0	<0.96	<5.0	<0.97	<0.48	<2	<10	<2.1	<5.0	<0.5	<5.0	<0.5	<5.0	<0.37	<1.8	<2.1	<0.97	--	--	--	--	--	--
"Salinas County, California"	CH_TW2023_012	20230711	Public supply	<0.37	<0.98	<0.2	<0.37	<0.87	<0.5	<0.5	<1.9	<0.2	<0.5	<5.0	<0.5	<5.0	<5.2	<1.0	<5.0	<0.44	<10.5	<0.48	<0.48	<0.97	<0.47	<0.48	<5.0	<5.0	<2.1	<1.6	<5.2	<3.9	<5.0	<1.0	<4.8	<0.1	<1.0	<0.96	<5.0	<0.97	<0.48	<2	<10	<2.1	<5.0	<0.5	<5.0	<0.5	<5.0	<0.37	<1.8	<2.1	<0.97	--	--	--	--	--	--
"Salinas County, California"	CH_TW2023_013	20230711	Public supply	<0.37	<0.98	<0.2	<0.37	<0.87	<0.5	<0.5	<1.9	<0.2	<0.5	<5.0	<0.5	<5.0	<5.2	<1.0	<5.0	<0.44	<10.5	<0.48	<0.48	<0.97	<0.47	<0.48	<5.0	<5.0	<2.1	<1.6	<5.2	<3.9	<5.0	<1.0	<4.8	<0.1	<1.0	<0.96	<5.0	<0.97	<0.48	<2	<10	<2.1	<5.0	<0.5	<5.0	<0.5	<5.0	<0.37	<1.8	<2.1	<0.97	--	--	--	--	--	--
"Salinas County, California"	CH_TW2023_014	20230711	Public supply	<0.37	<0.98	<0.2	<0.37	<0.87	<0.5	<0.5	<1.9	<0.2	<0.5	<5.0	<0.5	<5.0	<5.2	<1.0	<5.0	<0.44	<10.5	<0.48	<0.48	<0.97	<0.47	<0.48	<5.0	<5.0	<2.1	<1.6	<5.2	<3.9	<5.0	<1.0	<4.8	<0.1	<1.0	<0.96	<5.0	<0.97	<0.48	<2	<10	<2.1	<5.0	<0.5	<5.0	<0.5	<5.0	<0.37	<1.8	<2.1	<0.97	--	--	--	--	--	--
"Salinas County, California"	CH_TW2023_015	20230713	Public supply	<0.37	<0.98	<0.2	<0.37	<0.87	<0.5	<0.5	<1.9	<0.2	<0.5	<5.0	<0.5	<5.0	<5.2	<1.0	<5.0	<0.44	<10.5	<0.48	<0.48	<0.97	<0.47	<0.48	<5.0	<5.0	<2.1	<1.6	<5.2	<3.9	<5.0	<1.0	<4.8	<0.1	<1.0	<0.96	<5.0	<0.97	<0.48	<2	<10	<2.1	<5.0	<0.5	<5.0	<0.5	<5.0	<0.37	<1.8	<2.1	<0.97	--	--	--	--	--	--
"Salinas County, California"	CH_TW2023_016	20230717	Public supply	<0.37	<0.98	<0.2	<0.37	<0.87	<0.5	<0.5	<1.9	<0.2	<0.5	<5.0	<0.5	<5.0	<5.2	<1.0	<5.0	<0.44	<10.5	<0.48	<0.48	<0.97	<0.47	<0.48	<5.0	<5.0	<2.1	<1.6	<5.2	<3.9	<5.0	<1.0	<4.8	<0.1	<1.0	<0.96	<5.0	<0.97	<0.48	<2	<10	<2.1	<5.0	<0.5	<5.0	<0.5	<5.0	<0.37	<1.8	<2.1	<0.97	--	--	--	--	--	--
"Salinas County, California"	CH_TW2023_017	20230717	Public supply	0.5	<0.98	<0.2	<0.37	<0.87	<0.5	<0.5	<1.9	<0.2	<0.5	<5.0	<0.5	<5.0	<5.2	<1.0	<5.0	<0.44	<10.5	<0.48	<0.48	<0.97	<0.47	<0.48	<5.0	<5.0	<2.1	<1.6	<5.2	<3.9	<5.0	<1.0	<4.8	<0.1	<1.0	<0.96	<5.0	<0.97	<0.48	<2	<10	<2.1	<5.0	<0.5	<5.0	<0.5	<5.0	<0.37	<1.8	<2.1	<0.97	--	--	--	--	--	--
"Salinas County, California"	CH_TW2023_018	20230714	Public supply	<0.37	<0.98	<0.2	<0.37	<0.87	<0.5	<0.5	<1.9	<0.2	<0.5	<5.0	<0.5	<5.0	<5.2	<1.0	<5.0	<0.44	<10.5	<0.48	<0.48	<0.97	<0.47	<0.48	<5.0	<5.0	<2.1	<1.6	<5.2	<3.9	<5.0	<1.0	<4.8	<0.1	<1.0	<0.96	<5.0	<0.97	<0.48	<2	<10	<2.1	<5.0	<0.5	<5.0	<0.5	<5.0	<0.37	<1.8	<2.1	<0.97	--	--	--	--	--	--
"Salinas County, California"	CH_TW2023_019	20230717	Public supply	<0.37	<0.98	<0.2	<0.37	<0.87	<0.5	<0.5	<1.9	<0.2	<0.5	<5.0	<0.5	<5.0	<5.2	<1.0	<5.0	<0.44	<10.5	<0.48	<0.48	<0.97	<0.47	<0.48	<5.0	<5.0	<2.1	<1.6	<5.2	<3.9	<5.0	<1.0	<4.8	<0.1	<1.0	<0.96	<5.0	<0.97	<0.48	<2	<10	<2.1	<5.0	<0.5	<5.0	<0.5	<5.0	<0.37	<1.8	<2.1	<0.97	--	--	--	--	--	--
"Salinas County, California"	CH_TW2023_020	20230714	Public supply	<0.37	<0.98	<0.2	<0.37	<0.87	<0.5	<0.5	<1.9	<0.2	<0.5	<5.0	<0.5	<5.0	<5.2	<1.0	<5.0	<0.44	<10.5	<0.48	<0.48	<0.97	<0.47	<0.48	<5.0	<5.0	<2.1	<1.6	<5.2	<3.9	<5.0	<1.0	<4.8	<0.1	<1.0	<0.96	<5.0	<0.97	<0.48	<2	<10	<2.1	<5.0	<0.5	<5.0	<0.5	<5.0	<0.37	<1.8	<2.1	<0.97	--	--	--	--	--	--
"Madison or Jefferson County, Montana"	MTTW23_pf 01	20231101	Private well	0.60	<0.4	<0.5	0.29	<0.34	<0.5	<1.0	0.50	<1.0	<0.2	<5.0	0.30	<1.0	<5.0	<2.5	<2.5	<0.5	0.09	<0.47	<0.48	<0.94	<0.46	0.22	<5.0	<1.0	<1.0	<0.38	<1.0	<0.38	<1.0	<0.47	<0.93	<0.09	<1.0	<0.96	<1.0	<0.97	<0.48	<0.5	<2.0	<0.5	<0.5	<0.5	<0.5	<0.1	<5.0	<0.18	<0.9	<0.97	<0.48	<0.98	<0.5	<10.0	<20.0	<5.0	<22.3
"Madison or Jefferson County, Montana"	MTTW23_pf 02	20231029	Private well	0.18	<0.4	3.5	0.61	<0.34	<0.5	<1.0	<0.5	<1.0	<0.2	2.7	1.1	6.7	<5.0	<2.5	<2.5	1.6	<0.48	<0.47	<0.48	<0.94	<0.46	<0.48	<5.0	<1.0	<1.0	<0.38	<1.0	<0.38	<1.0	<0.47	<0.93	<0.09	<1.0	<0.96	<1.0	<0.97	<0.48	<0.5	<2.0	<0.5	<0.5	<0.5	<0.5	<0.1	<5.0	<0.18	<0.9	<0.97	<0.48	<0.98	<0.5	<10.0	<20.0	<5.0	<22.3
"Madison or Jefferson County, Montana"	MTTW23_pf 03	20231027	Private well	<0.36	<0.4	<0.5	<0.37	<0.34	<0.5	<1.0	<0.5	<1.0	<0.2	<5.0	<0.2	<1.0	<5.0	<2.5	<2.5	<0.5	<0.48	<0.47	<0.48	<0.94	<0.46	<0.48	<5.0	<1.0	<1.0	<0.38	<1.0	<0.38	<1.0	<0.47	<0.93	<0.09	<1.0	<0.96	<1.0	<0.97	<0.48	<0.5	<2.0	<0.5	<0.5	<0.5	<0.5	<0.1	<5.0	<0.18	<0.9	<0.97	<0.48	<0.98	<0.5	<10.0	<20.0	<5.0	<22.3
"Madison or Jefferson County, Montana"	MTTW23_pf 04	20231102	Private well	0.25	<0.4	<0.5	<0.37	<0.34	<0.5	<1.0	<0.5	<1.0	<0.2	15	0.70	<1.0	<5.0	<2.5	<2.5	<0.5	<0.48	<0.47	<0.48	<0.94	<0.46	<0.48	<5.0	<1.0	5.8	<0.38	<1.0	<0.38	<1.0	<0.47	<0.93	<0.09	<1.0	<0.96	<1.0	<0.97	<0.48	<0.5	<2.0	<0.5	<0.5	<0.5	<0.5	<0.1	<5.0	<0.18	<0.9	<0.97	<0.48	<0.98	<0.5	<10.0	<20.0	<5.0	<22.3
"Madison or Jefferson County, Montana"	MTTW23_pf 05	20231102	Private well	<0.36	<0.4	<0.5	<0.37	<0.34	<0.5	<1.0	2.2	<1.0	<0.2	<5.0	<0.2	<1.0	<5.0	<2.5	<2.5	<0.5	<0.48	<0.47	<0.48	<0.94	<0.46	<0.48	<5.0	<1.0	<1.0	<0.38	<1.0	<0.38	<1.0	<0.47	<0.93	<0.09	<1.0	<0.96	<1.0	<0.97	<0.48	<0.5	<2.0	<0.5	<0.5	<0.5	<0.5	<0.1	<5.0	<0.18	<0.9	<0.97	<0.48	<0.98	<0.5	<10.0	<20.0	<5.0	<22.3
"Madison or Jefferson County, Montana"	MTTW23_pf 06	20231024	Private well	0.54	<0.4	<0.5	<0.37	<0.34	<0.5	<1.0	<0.5	<1.0	<0.2	<5.0	<0.2	<1.0	<5.0	<2.5	<2.5	<0.5	<0.48	<0.47	<0.48	<0.94	<0.46	<0.48	<5.0	<1.0	<1.0	<0.38	<1.0	<0.38	<1.0	<0.47	<0.93	<0.09	<1.0	<0.96	<1.0	<0.97	<0.48	<0.5	<2.0	<0.5	<0.5	<0.5	<0.5	<0.1	<5.0	<0.18	<0.9	<0.97	<0.48	<0.98	<0.5	<10.0	<20.0	<5.0	<22.3
"Madison or Jefferson County, Montana"	MTTW23_pf 07	20231031	Private well	<0.36	<0.4	<0.5	<0.37	<0.34	<0.5	<1.0	<0.5	<1.0	<0.2	<5.0	<0.2	<1.0	<5.0	<2.5	<2.5	<0.5	<0.48	<0.47	<0.48	<0.94	<0.46	<0.48	<5.0	<1.0	<1.0	<0.38	<1.0	<0.38	<1.0	<0.47	<0.93	<0.09	<1.0	<0.96	<1.0	<0.97	<0.48	<0.5	<2.0	<0.5	<0.5	<0.5	<0.5	<0.1	<5.0	<0.18	<0.9	<0.97	<0.48	<0.98	<0.5	<10.0	<20.0	<5.0	<22.3
"Madison or Jefferson County, Montana"	MTTW23_pf 08	20231102	Private well	1.2	1.5	1.9	0.56	<0.34	<0.5	<1.0	<0.5	<1.0	<0.2	<5.0	0.60	0.90	<5.0	<2.5	<2.5	1.1	<0.48	<0.47	<0.48	<0.94	<0.46	<0.48	<5.0	<1.0	<1.0	<0.38	<1.0	<0.38	<1.0	<0.47	<0.93	<0.09	<1.0	<0.96	<1.0	<0.97	<0.48	<0.5	<2.0	<0.5	<0.5	<0.5	<0.5	<0.1	<5.0	<0.18	<0.9	<0.97	<0.48	<0.98	<0.5	<10.0	<20.0	<5.0	<22.3
"Madison or Jefferson County, Montana"	MTTW23_pf 09	20231031	Private well	<0.36	<0.4	<0.5	<0.37	<0.34	<0.5	<1.0	<0.5	<1.0	<0.2	<5.0	<0.2	<1.0	<5.0	<2.5	<2.5	<0.5	<0.48	<0.47	<0.48	<0.94	<0.46	<0.48	<5.0	<1.0	0.52	<0.38	<1.0	<0.38	<1.0	<0.47	<0.93	<0.09	<4.6	<0.96	<1.0	<0.97	<0.48	<0.5	<2.0	<0.5	<0.5	<0.5	<0.5	<0.1	<5.0	<0.18	<0.9	<0.97	<0.48	<0.98	<0.5	<10.0	<20.0	<5.0	<22.3
"Madison or Jefferson County, Montana"	MTTW23_pf 10	20231029	Private well	<0.36	<0.4	<0.5	<0.37	<0.34	<0.5	<1.0	<0.5	<1.0	<0.2	<5.0	<0.2	<1.0	<5.0	<2.5	<2.5	0.82	<0.48	<0.47	<0.48	<0.94	<0.46	<0.48	<5.0	<1.0	<1.0	<0.38	<1.0	<0.38	<1.0	<0.47	<0.93	<0.09	<1.0	<0.96	<1.0	<0.97	<0.48	<0.5	<2.0	<0.5	<0.5	<0.5	<0.5	<0.1	<5.0	<0.18	<0.9	<0.97	<0.48	<0.98	<0.5	<10.0	<20.0	<5.0	<22.3
