epoch,loss
1,1.049375391893366
2,0.6741806884954482
3,0.6110703767128534
4,0.5741444653963886
5,0.5476948083490459
6,0.526777713643122
7,0.5091058925544146
8,0.49329384724473013
9,0.4811345895087954
10,0.46853571797617155
11,0.4568697883863679
12,0.4457097252427358
13,0.43596956857706315
14,0.42588777321694454
15,0.41765056592891203
16,0.40909301843371904
17,0.40030972186793906
18,0.39330131721966116
19,0.3863555217728312
20,0.378662452069101
21,0.37291109431494246
22,0.36616699589942164
23,0.3619622344913316
24,0.3548338403456581
25,0.35067342264125334
26,0.3453043006702899
27,0.3404533158767667
28,0.3366383662369893
29,0.33243635538109545
30,0.32996291209101936
31,0.3260738513793152
32,0.3232962643682826
33,0.32028288575178687
34,0.31729460186457475
35,0.3151454352315197
36,0.3126269938583186
37,0.3103859984118255
38,0.3082813212008132
39,0.30727360868740916
40,0.30493289046397093
41,0.30323111195793817
42,0.30158914227845635
43,0.29953181792531547
44,0.29940836627191214
45,0.2975311908275867
46,0.2965156158811415
47,0.29562926080477314
48,0.2934406102681838
49,0.29290867820219085
50,0.29325751050556775
51,0.29127934796804933
52,0.29063275143406325
53,0.2897464800259217
54,0.28818868009345017
55,0.2875288747397763
56,0.28856524261004035
57,0.2873111240712506
58,0.28578426915524563
59,0.2846312624946465
60,0.2846770729682117
61,0.2847249483123128
62,0.28479208335834727
63,0.28319823787561915
64,0.28198404316698694
65,0.2823028565757384
66,0.2823633182166181
67,0.28229717939635596
68,0.28119829284023146
69,0.28040206282352725
70,0.2800673619401794
