DTXSID,SMILES,risk_score,seed_label
DTXSID5073612,FC1(F)C2(F)C(F)(F)C3(F)C(F)(F)C1(F)C(F)(F)C(F)(C2(F)F)C3(F)F,1.0,-1
DTXSID00895216,FC(F)(F)C(F)(F)C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,1.0,-1
DTXSID60893354,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,1.0,-1
DTXSID00189465,FC(F)(F)N1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,1.0,-1
DTXSID70503856,FC(F)(F)C(F)(F)C(F)(F)C1(F)OC(F)(F)C(F)(F)C1(F)F,1.0,-1
DTXSID60541222,FC(F)(F)C(F)(F)C(F)(F)[C](F)(F)[Cd][C](F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.0,-1
DTXSID5059828,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,1.0,-1
DTXSID00855532,FB(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.9999999986587117,-1
DTXSID50435489,FC(F)(F)C1(F)C(F)(F)C(F)(F)C1(C(F)(F)F)C(F)(F)F,0.9999999850316149,-1
DTXSID00244104,FC(F)(F)C1(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.9999999850316149,-1
DTXSID5059874,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.9999999850316149,-1
DTXSID10436078,FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.9999999850316149,-1
DTXSID90371094,FC(F)(F)[C](F)([Hg][C](F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,0.9999999850316149,-1
DTXSID90190949,FC(F)(I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,0.999999973903285,-1
DTXSID50235603,FC(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)F,0.999999973903285,-1
DTXSID70371572,FC(F)(F)C(F)(F)C(F)(F)C(I)(C(F)(F)F)C(F)(F)F,0.9999999739014216,-1
DTXSID30549371,FC(F)(F)C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,0.9999999739014216,-1
DTXSID70334445,FC(F)(F)C(F)(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,0.9999999739014216,-1
DTXSID90371231,FC(F)(F)C(F)(F)C(F)(F)C(Br)(C(F)(F)F)C(F)(F)F,0.9999999738980542,-1
DTXSID20335129,FC(F)(Br)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,0.9999999701904402,-1
DTXSID80187141,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,0.9999999701904402,-1
DTXSID30880115,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(I)C(F)(F)F,0.9999999701897162,-1
DTXSID40188992,FC(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.9999999701897162,-1
DTXSID7047566,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,0.9999999701897162,-1
DTXSID30881304,FC(F)(F)C(F)(F)C(F)(F)C(F)(I)C(F)(F)F,0.9999999370543912,-1
DTXSID70432935,FC(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,0.9999999370543912,-1
DTXSID9074721,FC(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.9999999370543912,1
DTXSID40542590,FC(F)(F)N(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,0.9999998995388534,-1
DTXSID10226714,FC(F)(F)N(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.9999998995388534,-1
DTXSID70881126,CC[N+](C)(CC)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F.[I-],0.999999891418717,-1
DTXSID50881063,CC[N+](C)(CC)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[I-],0.999999891418717,-1
DTXSID90880611,C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.N.[I-],0.999999878897367,-1
DTXSID90881345,C[N+](C)([O-])CCC[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[K+],0.9999998779100047,-1
DTXSID50880410,C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.999999877829968,-1
DTXSID00234929,C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[OH-],0.999999877829968,1
DTXSID8051419,C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[I-],0.9999998778196122,-1
DTXSID60893293,C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Br-],0.9999998778196122,-1
DTXSID80893295,CC(C[N+](C)(C)C)NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[I-],0.9999998528662786,-1
DTXSID50881361,C[N+](C)(C)CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[I-],0.9999998512791268,-1
DTXSID60880567,C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[I-],0.9999998264304468,-1
DTXSID80893553,C[N+](C)([O-])CCC[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[K+],0.9999998264304468,-1
DTXSID30880615,C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.9999998264304468,-1
DTXSID20896467,Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C)c1NC(=O)c1cccc(N(C)C(=O)c2ccc(F)cc2Cl)c1F,0.999999715166514,-1
DTXSID80896468,Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C)c1NC(=O)c1cccc(NC(=O)c2ccc(F)cc2[N+](=O)[O-])c1F,0.999999715166514,-1
DTXSID40896469,Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C)c1NC(=O)c1cccc(NC(=O)c2ccc(Cl)cc2[N+](=O)[O-])c1F,0.999999715166514,-1
DTXSID50896470,Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C)c1NC(=O)c1cccc(N(C)C(=O)c2ccc(F)cc2[N+](=O)[O-])c1F,0.999999715166514,-1
DTXSID00896465,Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C)c1NC(=O)c1cccc(N(C)C(=O)c2ccc(F)cc2F)c1F,0.9999996339909905,-1
DTXSID60896466,Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C)c1NC(=O)c1cccc(N(C)C(=O)c2ccc(Cl)cc2F)c1F,0.9999996339909905,-1
DTXSID40896464,Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C)c1NC(=O)c1cccc(NC(=O)c2ccc(Cl)cc2[N+](=O)[O-])c1,0.9999996339909905,-1
DTXSID00896460,Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C)c1NC(=O)c1cccc(NC(=O)c2ccc(F)cc2Cl)c1F,0.9999996315952334,-1
DTXSID00897573,Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)cc(C)c1NC(=O)c1cccc(N(C)C(=O)c2cccnc2Cl)c1F,0.9999995511926066,-1
